
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
chrome.exe                     968 Console                    1     18,660 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:07 N/A                                                                     
chrome.exe                   10408 Console                    1     13,460 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:05 N/A                                                                     
chrome.exe                   13760 Console                    1     23,472 K Unknown         DESKTOP-PCHRVE5\ai                                      6:20:45 N/A                                                                     
msedge.exe                    7708 Console                    1     69,856 K Running         DESKTOP-PCHRVE5\ai                                      0:01:44 fff - 搜索 - 用户配置 1 - Microsoft​ Edge                               
msedge.exe                    6992 Console                    1     10,500 K Running         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
msedge.exe                    4024 Console                    1     10,612 K Running         DESKTOP-PCHRVE5\ai                                      0:00:09 N/A                                                                     
msedge.exe                    7036 Console                    1     23,684 K Running         DESKTOP-PCHRVE5\ai                                      0:00:27 OleMainThreadWndName                                                    
msedge.exe                    6832 Console                    1      8,112 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:04 N/A                                                                     
msedge.exe                    5368 Console                    1     15,200 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:09 N/A                                                                     
msedge.exe                   10744 Console                    1     15,992 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:04 N/A                                                                     
chrome.exe                   14568 Console                    1     16,620 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:06 N/A                                                                     
msedge.exe                   15168 Console                    1     15,532 K Running         DESKTOP-PCHRVE5\ai                                      0:00:05 OleMainThreadWndName                                                    
notepad.exe                  10064 Console                    1      3,952 K Running         DESKTOP-PCHRVE5\ai                                      0:00:01 listener.txt - 记事本                                                   
wps.exe                      14524 Console                    1     71,972 K Running         DESKTOP-PCHRVE5\ai                                      1:14:53 202XXXXX-XX事件-模板 (1).pptx - WPS Office                              
wpp.exe                      13648 Console                    1    172,372 K Running         DESKTOP-PCHRVE5\ai                                      1:21:02 N/A                                                                     
svchost.exe                  10312 Services                   0      8,728 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:01 N/A                                                                     
chrome.exe                   15172 Console                    1     60,104 K Unknown         DESKTOP-PCHRVE5\ai                                      0:04:27 N/A                                                                     
chrome.exe                    4176 Console                    1     36,764 K Unknown         DESKTOP-PCHRVE5\ai                                      0:00:12 N/A                                                                     
svchost.exe                  18716 Services                   0      6,784 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
wlanext.exe                  17864 Services                   0      5,844 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
conhost.exe                  17568 Services                   0      6,312 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
taskhostw.exe                19680 Console                    1      8,088 K Running         DESKTOP-PCHRVE5\ai                                      0:00:10 Task Host Window                                                        
MobaXterm.exe                 3020 Console                    1      6,972 K Running         DESKTOP-PCHRVE5\ai                                      0:54:36 MobaXterm                                                               
XWin_MobaX.exe                1604 Console                    1      3,956 K Running         DESKTOP-PCHRVE5\ai                                     97:34:05 MobaXterm X server:0.0                                                  
MoTTYnew.exe                 20236 Console                    1      8,984 K Running         DESKTOP-PCHRVE5\ai                                      0:06:20 CicMarshalWnd                                                           
svchost.exe                  20312 Services                   0      5,156 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                  16176 Services                   0      7,524 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
dasHost.exe                  20340 Services                   0      7,288 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
chrome.exe                   15584 Console                    1     94,616 K Unknown         DESKTOP-PCHRVE5\ai                                      0:03:52 N/A                                                                     
